unity_time	capture_time_ns	frame_number	gaze_validity_L	gaze_validity_R	gaze_validity_C	gaze_origin_L.x	gaze_origin_L.y	gaze_origin_L.z	gaze_origin_R.x	gaze_origin_R.y	gaze_origin_R.z	gaze_origin_C.x	gaze_origin_C.y	gaze_origin_C.z	gaze_direct_L.x	gaze_direct_L.y	gaze_direct_L.z	gaze_direct_R.x	gaze_direct_R.y	gaze_direct_R.z	gaze_direct_C.x	gaze_direct_C.y	gaze_direct_C.z	focus_distance	focus_stability	IPD_mm	left_pupil_mm	left_iris_mm	left_ratio	right_pupil_mm	right_iris_mm	right_ratio	fixationPoint.x	fixationPoint.y	fixationPoint.z	gaze_contingency_L.x	gaze_contingency_L.y	gaze_contingency_L.z	gaze_contingency_R.x	gaze_contingency_R.y	gaze_contingency_R.z	gaze_contingency_C.x	gaze_contingency_C.y	gaze_contingency_C.z
7.9429	1000676832677239200	199921	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12198	-0.05713	0.99089	-0.14978	-0.05691	0.98708	-0.00618	-0.05756	0.99832	0.23898	0.00000	61.15000	2.40678	6.32240	0.38068	2.34702	6.19585	0.37880	-0.15489	0.31551	-0.34295	-0.80074	0.22316	0.04488	-0.87966	0.21033	-0.14522	-0.84558	0.21603	-0.03932
7.9429	1000676832682246500	199922	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12178	-0.05746	0.99089	-0.14960	-0.05724	0.98709	-0.00673	-0.05789	0.99830	0.23932	0.00000	61.15000	2.40678	6.32240	0.38068	2.34702	6.19585	0.37880	-0.15524	0.31538	-0.34293	-0.80080	0.22282	0.04471	-0.87957	0.21001	-0.14504	-0.84575	0.21567	-0.03982
7.9540	1000676832687256200	199923	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12157	-0.05779	0.99090	-0.14942	-0.05757	0.98710	-0.00732	-0.05822	0.99828	0.23967	0.00000	61.15000	2.40928	6.32240	0.38107	2.35207	6.19585	0.37962	-0.15570	0.31522	-0.34296	-0.80107	0.22243	0.04429	-0.87963	0.20965	-0.14512	-0.84613	0.21525	-0.04061
7.9540	1000676832692296600	199924	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12133	-0.05806	0.99091	-0.14922	-0.05783	0.98711	-0.00796	-0.05849	0.99826	0.24007	0.00000	61.15000	2.40928	6.32240	0.38107	2.35207	6.19585	0.37962	-0.15611	0.31510	-0.34295	-0.80115	0.22215	0.04409	-0.87954	0.20940	-0.14492	-0.84634	0.21495	-0.04120
7.9540	1000676832697320300	199925	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12110	-0.05830	0.99093	-0.14901	-0.05807	0.98713	-0.00848	-0.05873	0.99824	0.24047	0.10923	61.15000	2.40928	6.32240	0.38107	2.35207	6.19585	0.37962	-0.15652	0.31498	-0.34290	-0.80124	0.22190	0.04389	-0.87945	0.20917	-0.14472	-0.84651	0.21468	-0.04167
7.9662	1000676832702329700	199926	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12090	-0.05850	0.99094	-0.14878	-0.05827	0.98715	-0.00879	-0.05893	0.99822	0.24086	0.27972	61.15000	2.41136	6.32240	0.38140	2.35442	6.19585	0.38000	-0.15697	0.31481	-0.34283	-0.80141	0.22146	0.04361	-0.87943	0.20875	-0.14461	-0.84669	0.21423	-0.04207
7.9662	1000676832707293600	199927	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12071	-0.05869	0.99095	-0.14854	-0.05846	0.98718	-0.00911	-0.05912	0.99821	0.24124	0.32802	61.15000	2.41136	6.32240	0.38140	2.35442	6.19585	0.38000	-0.15734	0.31471	-0.34275	-0.80148	0.22127	0.04345	-0.87935	0.20858	-0.14438	-0.84679	0.21402	-0.04236
7.9773	1000676832712320600	199928	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12054	-0.05888	0.99096	-0.14828	-0.05866	0.98720	-0.00947	-0.05931	0.99819	0.24165	0.38779	61.15000	2.41436	6.32240	0.38187	2.35631	6.19585	0.38030	-0.15778	0.31456	-0.34276	-0.80172	0.22081	0.04295	-0.87935	0.20815	-0.14450	-0.84704	0.21356	-0.04306
7.9773	1000676832717374400	199929	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12042	-0.05908	0.99096	-0.14798	-0.05886	0.98724	-0.00958	-0.05951	0.99818	0.24202	0.62477	61.15000	2.41436	6.32240	0.38187	2.35631	6.19585	0.38030	-0.15813	0.31446	-0.34263	-0.80175	0.22061	0.04286	-0.87924	0.20797	-0.14421	-0.84705	0.21335	-0.04316
7.9900	1000676832722403000	199930	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12031	-0.05929	0.99096	-0.14767	-0.05907	0.98727	-0.00977	-0.05972	0.99817	0.24242	0.72163	61.15000	2.41693	6.32240	0.38228	2.35849	6.19585	0.38066	-0.15855	0.31422	-0.34252	-0.80178	0.21991	0.04274	-0.87913	0.20731	-0.14392	-0.84710	0.21265	-0.04336
